Enlace	Oficina_Contable	Remoto	Descripcion	Proveedor	ID	AnchoBanda	Costo_Dolares
2359	1	1	ANTIGUA GUATEMALA	REDYTEC		2048	22.40
2377	2	2	BARBERENA	REDYTEC		2048	22.40
2378	4	4	JUTIAPA	REDYTEC		1995	22.40
2379	8	8	ESQUIPULAS	REDYTEC		2048	22.40
2380	15	15	CHIQUIMULILLA	REDYTEC		2048	22.40
2360	22	22	SOLOLA	REDYTEC		2048	22.40
2381	32	32	HUEHUETENANGO	REDYTEC		2048	22.40
2382	55	55	SOLOMA	REDYTEC		2048	22.40
2419	61	61	EL CHAL DOLORES	REDYTEC		2048	22.40
2342	62	62	SAN LUIS	REDYTEC		2048	22.40
2418	63	63	SAYAXCHE	REDYTEC		2048	22.40
2417	64	64	LAS CRUCES	REDYTEC		2048	22.40
2428	75	75	SAN CARLOS SIJA	REDYTEC		2048	22.40
2430	76	76	CIUDAD PEDRO DE ALVARADO	REDYTEC		2048	22.40
2426	79	79	MOMOSTENANGO	REDYTEC		2048	22.40
2010	99	99	OFICINA ZONA 1 (CENTRO)	REDYTEC		102400	1600.00
2411	110	110	ADUANA PEDRO DE ALVARADO	REDYTEC		2048	22.40
2422	114	114	PUERTO QUETZAL	REDYTEC		2048	22.40
2343	124	124	COBAN IMPERIAL	REDYTEC		2048	22.40
2361	132	132	AGENCIA ZONA 6 (MARTI)	REDYTEC		2048	22.40
2431	152	152	AUTOBANCO PROGRESO JUTIAPA	REDYTEC		2048	22.40
2344	155	155	AUTOBANCO LAS MINAS ESQUIPULAS	REDYTEC		2048	22.40
2345	160	160	AUTOBANCO TEXACO CHIQUIMULA	REDYTEC		2048	22.40
2383	162	162	CAMOJA	REDYTEC		2048	22.40
2346	206	206	MEGA PRIMMA	REDYTEC		2048	22.40
2347	209	209	EL NARANJO	REDYTEC		2048	22.40
2384	221	221	SANTA LUCIA COTZ	REDYTEC		2048	22.40
2385	232	232	SAN JUAN SACATEPEQUEZ	REDYTEC		2048	22.40
2429	252	252	CABRICAN	REDYTEC		2048	22.40
2386	275	275	MAZATENANGO PLAZA AMERICA	REDYTEC		2048	22.40
2348	283	283	AUTOBANCO ZACAPA TAMARINDAL	REDYTEC		2048	22.40
2387	326	326	AUTOBANCO TERMINAL RETALHULEU	REDYTEC		2048	22.40
2388	329	329	AUTOBANCO COATEPEQUE	REDYTEC		2048	22.40
2362	340	340	2 CALLE ZONA 9	REDYTEC		2048	22.40
2368	340	3400001	MAYCOM 2A. CALLE ZONA 9	REDYTEC		2048	22.40
2349	364	364	MIRAFLORES	REDYTEC		2048	22.40
2423	369	369	CATARINA	REDYTEC		2048	22.40
2413	370	370	GUAZACAPAN	REDYTEC		2048	22.40
2420	382	382	SAYAXCHE PARQUE CENTRAL	REDYTEC		2048	22.40
2363	384	384	CENTRO COMERCIAL MONTUFAR	REDYTEC		2048	22.40
2389	404	404	AVENIDA PETAPA	REDYTEC		2048	22.40
2364	406	406	VILLA DE GUADALUPE	REDYTEC		2048	22.40
2390	408	408	CALZADA AGUILAR BATRES	REDYTEC		2048	22.40
2350	414	414	ROOSEVELT 2	REDYTEC		2048	22.40
2391	424	424	VILLA NUEVA 2	REDYTEC		2048	22.40
2351	428	428	SALAMA 5A AVENIDA	REDYTEC		2048	22.40
2352	430	430	SANTA ELENA 4A CALLE	REDYTEC		2048	22.40
2392	440	440	ESCUINTLA 3A CALLE	REDYTEC		2048	22.40
2421	460	460	MONTERRICO	REDYTEC		2048	22.40
2414	461	461	TAXISCO	REDYTEC		2048	22.40
2432	477	477	AUTOBANCO LA RUIDOSA	REDYTEC		2048	22.40
2393	493	493	MERCADO VILLA NUEVA	REDYTEC		2048	22.40
2353	497	497	AUTOBANCO LAS CHAMPAS	REDYTEC		2048	22.40
2365	530	530	AUTOBANCO CHIMALTENANGO	REDYTEC		2048	22.40
2416	578	578	AUTOBANCO JAGUAR AEROPUERTO MUNDO MAYA	REDYTEC		2048	22.40
2394	614	614	SANTA ELENA BARILLAS	REDYTEC		2048	22.40
2354	623	623	SANTA ANA PETEN	REDYTEC		2048	22.40
2395	669	669	PASEO DE LAS AMERICAS XELA	REDYTEC		2048	22.40
2412	684	684	AUTOBANCO CHIQUIMULILLA	REDYTEC		2048	22.40
2366	721	721	TERMINAL QUICHE	REDYTEC		2048	22.40
2415	724	724	MERCADO SANTA ELENA	REDYTEC		2048	22.40
2424	732	732	SAN BARTOLO AGUAS CALIENTES	REDYTEC		2048	22.40
2367	733	733	CC PRADERA CONCEPCION	REDYTEC		2048	22.40
2355	747	747	PACHALUM CALLE DE LAS FLORES	REDYTEC		2048	22.40
2396	777	777	AUTOBANCO SAN MARCOS	REDYTEC		2048	22.40
2356	791	791	AUTOBANCO MEGAPLAZA	REDYTEC		2048	22.40
2397	806	806	TZOLOJYA	REDYTEC		2048	22.40
2427	843	843	SAN MIGUEL TOTONICAPAN	REDYTEC		2048	22.40
2425	883	883	ARGUETA	REDYTEC		2048	22.40
2398	887	887	AUTOBANCO CONDADO SAN CRISTOBAL TOTONICAPAN	REDYTEC		2048	22.40
2357	919	1999058	REDYTEC	REDYTEC		102400	0.00
2262	919	1999067	Zona 4 - Torre 2 Niv 10 	REDYTEC		100000000	1600.00
