Enlace	Remoto	Descripcion	Proveedor	ID	AnchoBanda	Costo
320	250	AUTOBANCO - ROOSEVELT	NAVEGA	1134	512	196.00
689	1012	EEGSA	NAVEGA	1138	128	112.00
346	2104	ANEXO ADUANA PUERTO BARRIOS	NAVEGA	1140	512	347.20
347	105	ADUANA SANTO TOMAS DE CASTILLA	NAVEGA	1142	512	347.20
363	6	ZACAPA	NAVEGA	1144	512	347.20
364	7	CHIQUIMULA	NAVEGA	1145	512	347.20
369	8	ESQUIPULAS	NAVEGA	1147	512	347.20
357	42	IPALA	NAVEGA	1148	512	347.20
1181	37	ASUNCION MITA	NAVEGA	1149	512	347.20
368	4	JUTIAPA	NAVEGA	1150	512	347.20
367	2	BARBERENA	NAVEGA	1151	512	347.20
361	3	JALAPA	NAVEGA	1152	512	302.40
334	83	ESCUINTLA	NAVEGA	1154	512	347.20
359	191	IGSS SANTA LUCIA COTZUMALGUAPA	NAVEGA	1155	512	347.20
354	19	NUEVA CONCEPCION	NAVEGA	1156	512	302.40
366	12	COBAN	NAVEGA	1158	512	347.20
355	28	MAZATENANGO	NAVEGA	1159	512	347.20
348	27	RETALHULEU	NAVEGA	1161	256	347.20
350	34	QUETZALTENANGO	NAVEGA	1162	512	347.20
382	1001	2do. REGISTRO DE LA PROPIEDAD	NAVEGA	1163	512	347.20
642	347	SAN PEDRO SACATEPEQUEZ	NAVEGA	11635	512	302.40
371	26	COATEPEQUE	NAVEGA	1164	512	347.20
339	102	ADUANA TECUN UMAN	NAVEGA	1165	512	347.20
370	23	SAN PEDRO SAN MARCOS	NAVEGA	1166	512	347.20
351	97	HUEHUETENANGO AGENCIA TRIBUTARIA	NAVEGA	1167	512	347.20
591	281	SUMPANGO	NAVEGA	11713	512	302.40
678	1002	INTERNET	NAVEGA	11946	46080	6160.00
323	247	ZONA FRANCA	NAVEGA	1198	512	196.00
679	1011	EDICIO BANRURAL - OFICINAS CENTRALES	NAVEGA	11988	102400	4200.00
670	359	DESPENSA CUYOTENANGO	NAVEGA	12271	512	347.20
360	249	AUTOBANCO - QUETZALTENANGO	NAVEGA	1236	512	302.40
685	171	CUBULCO	NAVEGA	12516	512	302.40
1476	369	CATARINA	NAVEGA	12527	512	302.40
692	377	SALA DE CONTEO	NAVEGA	12648	512	145.60
697	374	MERCADO TECPAN	NAVEGA	12649	512	302.40
700	373	SUPERMERCADO LA ESTRELLA	NAVEGA	12691	512	302.40
1790	437	TERMINAL CHIQUIMULA	NAVEGA	13096	512	302.40
936	442	AUTOBANCO NEBAJ 2	NAVEGA	13097	512	302.40
633	440	ESCUINTLA 3A CALLE	NAVEGA	13098	512	347.20
