Enlace	Remoto	Descripcion	Proveedor	ID	AnchoBanda	Costo
2008	89	JACALTENANGO	CESA		128	415.00
1341	680	TAJUMULCO	CESA		256	650.00
1548	784	GODINEZ	CESA		256	650.00
1658	824	SANTA MARIA CHIQUIMULA	CESA		256	650.00
1740	840	TAJUMUCO	CESA		128	415.00
1737	847	CUNOROC	CESA		256	650.00
1962	862	EL BOQUERON	CESA		128	415.00
1996	863	PATZITE	CESA		128	415.00
1825	864	EL INJERTO LA LIBERTAD	CESA		128	415.00
1971	2093	ANEXO 93 LA LAGUNA	CESA		128	415.00
1980	637	SAN JUAN ERMITA CHIQUIMULA	CESA		128	415.00
1193	632	ZAPOTITLAN	CESA		128	415.00
1745	627	LA PARROQUIA ZONA REYNA	CESA		128	415.00
1571	450	SAN CARLOS ALZATATE	CESA		128	415.00
1094	506	HORCONES 	CESA		256	650.00
1085	535	TIERRA BLANCA	CESA		256	650.00
2018	554	HUITAN QUETZALTENANGO	CESA		128	415.00
1098	594	CABALLO BLANCO	CESA		256	650.00
2009	605	EL PALMAR QUETZALTENANGO	CESA		128	415.00
1961	620	LOS CIMIENTOS	CESA		128	415.00
2028	626	MUNICIPALIDAD DE CHIQUIMULA	CESA		128	415.00
2029	3582	FFACSA KONTIC	CESA		6	0.00
815	466	SALTAN	CESA	0	128	415.00
