Enlace	Remoto	Descripcion	Proveedor	ID	AnchoBanda	Costo
1030	22178	DIRECCION GENERAL DE AERONAUTICA CIVIL	TELERED	290900002	256	165.00
1172	576	TANQUE LA UNION ANTIGUA	TELERED	8900028	512	239.00
250	178	AEROPUERTO	TELERED	8900235	512	174.00
41	139	AGENCIA ZONA 19	TELERED	8900236	512	174.00
43	13	MONJA BLANCA	TELERED	8900237	512	174.00
37	135	AGENCIA ZONA 5	TELERED	8900239	512	174.00
40	138	AGENCIA MIXCO	TELERED	8900240	512	174.00
36	134	AGENCIA ZONA 7	TELERED	8900241	512	174.00
315	237	BOCA DEL MONTE	TELERED	8900242	512	174.00
333	244	HOSPITAL ROOSEVELT	TELERED	8900243	512	174.00
229	153	SAN CRISTOBAL	TELERED	8900244	512	174.00
402	213	MERCADO LA PARROQUIA	TELERED	8900245	512	174.00
401	211	MERCADO LA FLORIDA	TELERED	8900246	512	174.00
411	260	MERCADO SAN JOSE MERCANTIL	TELERED	8900247	512	174.00
416	257	AUTOBANCO - PETAPA	TELERED	8900248	512	174.00
204	185	IGSS CENTRAL	TELERED	8900251	512	174.00
213	188	IGSS ZONA 5	TELERED	8900252	512	174.00
199	192	IGSS MONTE REAL	TELERED	8900253	512	174.00
234	190	IGSS ZONA 11	TELERED	8900254	512	174.00
38	136	AGENCIA ZONA 18	TELERED	8900258	512	174.00
10	109	ROOSEVELTH	TELERED	8900259	512	174.00
286	228	SAT ZONA 9	TELERED	8900260	512	174.00
236	183	PRISA	TELERED	8900261	512	174.00
254	173	19 CALLE	TELERED	8900263	512	174.00
403	256	USAC	TELERED	8900264	512	174.00
457	263	MERCADO LA PRESIDENTA	TELERED	8900265	512	174.00
456	276	MERCADO COLON	TELERED	8900266	512	174.00
468	278	MERCADO LA REFORMITA	TELERED	8900267	512	174.00
78	175	ORGANISMO JUDICIAL	TELERED	8900269	512	174.00
503	309	IPM	TELERED	8900270	512	174.00
34	132	AGENCIA ZONA 6 (MARTI)	TELERED	8900272	512	174.00
516	300	INFOM	TELERED	8900273	512	174.00
248	170	C.D.R.O	TELERED	8900274	512	239.00
246	140	FLORES	TELERED	8900275	512	239.00
237	14	TECPAN	TELERED	8900276	512	239.00
138	5	GUASTATOYA	TELERED	8900279	512	239.00
258	201	SALCAJA	TELERED	8900280	512	239.00
260	157	SAT - JALAPA	TELERED	8900281	512	239.00
641	2221	ANEXO SANTA LUCIA COTZ	TELERED	8900282	512	239.00
261	194	IGSS PAMPLONA	TELERED	8900283	512	174.00
294	227	SANTO TOMAS DE CASTILLA	TELERED	8900284	512	239.00
103	31	EL QUICHE	TELERED	8900287	512	239.00
307	233	ALMOLONGA	TELERED	8900288	512	239.00
306	232	SAN JUAN SACATEPEQUEZ	TELERED	8900289	512	239.00
380	207	CHIQUIMULA CENTRO	TELERED	8900291	512	239.00
405	147	AGENCIA SAT ZACAPA	TELERED	8900292	512	239.00
193	17	SANTA ELENA	TELERED	8900293	512	239.00
427	142	PLAZA PALMERAS	TELERED	8900295	512	239.00
428	184	TERMINAL JUTIAPA	TELERED	8900296	512	239.00
92	22	SOLOLA	TELERED	8900298	512	239.00
1192	133	C.C. PLAZA MAGDALENA	TELERED	8900299	512	239.00
45	141	TERMINAL HUEHUETENANGO	TELERED	8900301	512	239.00
487	301	ORGANISMO JUDICIAL QUETZALTENANGO	TELERED	8900302	512	239.00
297	124	COBAN IMPERIAL	TELERED	8900303	512	239.00
277	92	SAN MARCOS	TELERED	8900304	512	239.00
510	150	SAT - CHIMALTENANGO	TELERED	8900305	512	239.00
698	353	MUNICIPALIDAD SANTA LUCIA COTZUMALGUAPA	TELERED	8900306	512	239.00
562	9	PUERTO BARRIOS	TELERED	8900307	512	239.00
210	199	MERCADO QUETZALTENANGO	TELERED	8900309	512	239.00
235	148	COLONIAL ANTIGUA	TELERED	8900310	512	239.00
39	137	AGENCIA VILLA NUEVA	TELERED	8900311	512	174.00
291	165	XELAJU	TELERED	8900312	512	239.00
332	71	AGENCIA  18 CALLE ZONA 1	TELERED	8900314	512	174.00
454	193	IGSS RETALHULEU	TELERED	8900316	512	239.00
283	106	ADUANA AGUA CALIENTE	TELERED	8900319	512	239.00
280	24	EL TUMBADOR	TELERED	8900320	512	239.00
289	75	SAN CARLOS SIJA	TELERED	8900322	512	239.00
144	66	SAN MARTIN JILOTEPEQUE	TELERED	8900326	512	239.00
129	53	JOYABAJ	TELERED	8900331	512	239.00
265	220	MONJAS	TELERED	8900332	512	239.00
330	63	SAYAXCHE	TELERED	8900337	512	239.00
342	41	LA DEMOCRACIA	TELERED	8900340	512	239.00
343	100	Aduana Valle Nuevo	TELERED	8900341	512	239.00
242	164	AMATITLAN	TELERED	8900344	512	239.00
448	29	PUEBLO NUEVO VIÑAS	TELERED	8900347	512	239.00
445	93	SAN PEDRO LA LAGUNA	TELERED	8900351	512	239.00
335	89	JACALTENANGO	TELERED	8900356	256	230.00
465	279	MERCADO BETHANIA	TELERED	8900357	512	174.00
484	294	MORAZAN	TELERED	8900358	512	239.00
485	295	TACANA	TELERED	8900359	512	239.00
337	78	CENTRAL DE MAYOREO (CENMA)	TELERED	8900360	512	174.00
488	288	ORATORIO	TELERED	8900363	512	239.00
426	197	TACTIC	TELERED	8900364	512	239.00
499	154	AGUA BLANCA	TELERED	8900366	256	230.00
504	308	DOLORES	TELERED	8900367	512	239.00
501	303	SIBILIA	TELERED	8900370	256	230.00
491	200	CHAJUL	TELERED	8900371	256	230.00
521	231	SAN PABLO SAN MARCOS	TELERED	8900372	512	239.00
546	318	EL TEJAR	TELERED	8900378	512	239.00
539	45	LA MESILLA	TELERED	8900380	512	239.00
557	145	DISTRIBUIDORA LOS ENCUENTROS	TELERED	8900383	512	239.00
547	321	CIUDAD VIEJA	TELERED	8900384	512	239.00
91	21	TOTONICAPAN	TELERED	8900387	512	239.00
954	1019	ACCESE SERVER TELGUA	TELERED	8900389	256	180.00
561	743	OCRET	TELERED	8900390	512	174.00
560	114	PUERTO QUETZAL	TELERED	8900391	512	239.00
1157	475	LOS AMATES CENTRO	TELERED	8900392	256	230.00
500	59	SAN CRISTOBAL VERAPAZ	TELERED	8900395	512	239.00
123	49	CARCHA	TELERED	8900396	512	239.00
266	166	TECULUTAN	TELERED	8900397	512	239.00
111	38	PATZUN	TELERED	8900398	512	239.00
13	111	CUILAPA	TELERED	8900399	512	239.00
251	187	SAN ANTONIO SUCHITEPEQUEZ	TELERED	8900400	512	239.00
310	180	SANARATE	TELERED	8900402	512	239.00
287	39	POPTUN	TELERED	8900403	512	239.00
243	69	GUALAN	TELERED	8900404	512	239.00
300	198	SIMON BOLIVAR MORALES	TELERED	8900405	512	239.00
451	169	EL PROGRESO	TELERED	8900409	512	239.00
492	55	SOLOMA	TELERED	8900411	512	239.00
558	202	CENTRO COMERCIAL COATEPEQUE	TELERED	8900413	512	239.00
429	16	FRAY BARTOLOME DE LAS CASAS	TELERED	8900416	512	239.00
322	761	PARQUE CENTRAL SAN ANTONIO HUISTA	TELERED	8900418	512	239.00
