rm_oficinacontable	descripcion	monto_USD$
1	ANTIGUA GUATEMALA	28.58
2	BARBERENA	14.29
4	JUTIAPA	14.29
5	GUASTATOYA	28.58
6	ZACAPA	14.29
8	ESQUIPULAS	14.29
9	PUERTO BARRIOS	14.29
10	SALAMA	14.29
11	PANZOS	14.29
13	MONJA BLANCA	14.29
14	TECPAN	14.29
15	CHIQUIMULILLA	14.29
16	FRAY BARTOLOME DE LAS CASAS	14.29
17	SANTA ELENA	14.29
18	CHIMALTENANGO	14.29
20	MELCHOR DE MENCOS	14.29
21	TOTONICAPAN	14.29
22	SOLOLA	14.29
24	EL TUMBADOR	14.29
25	MALACATAN	14.29
29	PUEBLO NUEVO VIÑAS	14.29
30	LA MAQUINA	14.29
31	EL QUICHE	28.58
32	HUEHUETENANGO	14.29
35	SANTIAGO ATITLAN	14.29
36	MORALES	14.29
38	PATZUN	14.29
40	PLAYA GRANDE	14.29
41	LA DEMOCRACIA	14.29
42	IPALA	14.29
43	EL ESTOR	14.29
44	LA TINTA	14.29
45	LA MESILLA	28.58
46	SANTO TOMAS CHICHE	14.29
47	ALOTENANGO	14.29
49	CARCHA	28.58
50	RAXRUJA	14.29
52	NEBAJ	14.29
53	JOYABAJ	14.29
54	USPANTAN	14.29
55	SOLOMA	14.29
56	SAN ANTONIO HUISTA	14.29
57	SANTA CRUZ BARILLAS	14.29
58	CUILCO	14.29
59	SAN CRISTOBAL VERAPAZ	14.29
60	SACAPULAS	14.29
61	EL CHAL DOLORES	14.29
62	SAN LUIS	14.29
63	SAYAXCHE	28.58
64	LAS CRUCES	14.29
65	RABINAL	14.29
66	SAN MARTIN JILOTEPEQUE	14.29
68	JALPATAGUA	14.29
69	GUALAN	14.29
70	SAN PEDRO NECTA	14.29
71	AGENCIA  18 CALLE ZONA 1	14.29
72	RIO DULCE	14.29
73	AGUACATAN	14.29
74	MINISTERIO DE FINANZAS PUBLICAS 	14.29
75	SAN CARLOS SIJA	14.29
76	CIUDAD PEDRO DE ALVARADO	14.29
78	CENTRAL DE MAYOREO (CENMA)	14.29
79	MOMOSTENANGO	28.58
80	ANEXO NUEVA SANTA ROSA 	14.29
82	CAMOTAN	14.29
87	OLOPA	14.29
88	LA UNION	14.29
89	JACALTENANGO	14.29
90	PACHALUM	14.29
92	SAN MARCOS	28.58
93	SAN PEDRO LA LAGUNA	28.58
95	SAN FRANCISCO EL ALTO	28.58
98	CHACTE	14.29
99	OFICINA ZONA 1 (CENTRO)	14.29
100	ADUANA VALLE NUEVO	14.29
101	SAN CRISTOBAL FRONTERA	28.58
103	ADUANA EL CARMEN	14.29
104	ADUANA PUERTO BARRIOS	14.29
