rm_oficinacontable	descripcion	monto_USD$
1	ANTIGUA GUATEMALA	29.00
2	BARBERENA	14.50
4	JUTIAPA	14.50
5	GUASTATOYA	29.00
6	ZACAPA	14.50
8	ESQUIPULAS	14.50
9	PUERTO BARRIOS	14.50
10	SALAMA	14.50
11	PANZOS	14.50
13	MONJA BLANCA	14.50
14	TECPAN	14.50
15	CHIQUIMULILLA	14.50
16	FRAY BARTOLOME DE LAS CASAS	14.50
17	SANTA ELENA	14.50
18	CHIMALTENANGO	14.50
20	MELCHOR DE MENCOS	14.50
21	TOTONICAPAN	14.50
22	SOLOLA	14.50
24	EL TUMBADOR	14.50
25	MALACATAN	14.50
29	PUEBLO NUEVO VIÑAS	14.50
30	LA MAQUINA	14.50
31	EL QUICHE	29.00
32	HUEHUETENANGO	14.50
35	SANTIAGO ATITLAN	14.50
36	MORALES	14.50
38	PATZUN	14.50
40	PLAYA GRANDE	14.50
41	LA DEMOCRACIA	14.50
42	IPALA	14.50
43	EL ESTOR	14.50
44	LA TINTA	14.50
45	LA MESILLA	29.00
46	SANTO TOMAS CHICHE	14.50
47	ALOTENANGO	14.50
49	CARCHA	29.00
50	RAXRUJA	14.50
52	NEBAJ	14.50
53	JOYABAJ	14.50
54	USPANTAN	14.50
55	SOLOMA	14.50
56	SAN ANTONIO HUISTA	14.50
57	SANTA CRUZ BARILLAS	14.50
58	CUILCO	14.50
59	SAN CRISTOBAL VERAPAZ	14.50
60	SACAPULAS	14.50
61	EL CHAL DOLORES	14.50
62	SAN LUIS	14.50
64	LAS CRUCES	14.50
65	RABINAL	14.50
66	SAN MARTIN JILOTEPEQUE	14.50
68	JALPATAGUA	14.50
69	GUALAN	14.50
70	SAN PEDRO NECTA	14.50
71	AGENCIA  18 CALLE ZONA 1	14.50
72	RIO DULCE	14.50
73	AGUACATAN	14.50
74	MINISTERIO DE FINANZAS PUBLICAS 	14.50
75	SAN CARLOS SIJA	14.50
76	CIUDAD PEDRO DE ALVARADO	14.50
78	CENTRAL DE MAYOREO (CENMA)	14.50
79	MOMOSTENANGO	29.00
80	ANEXO NUEVA SANTA ROSA 	14.50
82	CAMOTAN	14.50
87	OLOPA	14.50
88	LA UNION	14.50
89	JACALTENANGO	14.50
90	PACHALUM	14.50
92	SAN MARCOS	29.00
93	SAN PEDRO LA LAGUNA	29.00
95	SAN FRANCISCO EL ALTO	29.00
98	CHACTE	14.50
99	OFICINA ZONA 1 (CENTRO)	14.50
100	ADUANA VALLE NUEVO	14.50
101	SAN CRISTOBAL FRONTERA	29.00
103	ADUANA EL CARMEN	14.50
104	ADUANA PUERTO BARRIOS	14.50
105	SIJA QUETZALTENANGO	14.50
106	ADUANA AGUA CALIENTE	14.50
108	EL FLORIDO	14.50
109	ROOSEVELTH	43.49
110	ADUANA PEDRO DE ALVARADO	14.50
111	CUILAPA	14.50
113	ADUANA MELCHOR DE MENCOS	14.50
114	PUERTO QUETZAL	14.50
116	TODOS SANTOS HUEHUETENANGO	14.50
117	NENTON	14.50
118	BOULEVAR LIBERACION	14.50
119	SANTA MARIA IXHUATAN	14.50
120	AUTOBANCO ASUNCION MITA	14.50
121	CHICHICASTENANGO	14.50
124	COBAN IMPERIAL	29.00
125	CHISEC	14.50
