rm_oficinacontable	descripcion	monto_USD$
1	ANTIGUA GUATEMALA	20.64
2	BARBERENA	20.64
3	JALAPA	20.64
4	JUTIAPA	10.32
5	GUASTATOYA	20.64
6	ZACAPA	20.64
7	CHIQUIMULA	10.32
8	ESQUIPULAS	10.32
9	PUERTO BARRIOS	10.32
10	SALAMA	20.64
11	PANZOS	10.32
12	COBAN	10.32
13	MONJA BLANCA	10.32
14	TECPAN	10.32
15	CHIQUIMULILLA	10.32
16	FRAY BARTOLOME DE LAS CASAS	10.32
17	SANTA ELENA	10.32
18	CHIMALTENANGO	20.64
19	NUEVA CONCEPCION	10.32
20	MELCHOR DE MENCOS	20.64
21	TOTONICAPAN	10.32
22	SOLOLA	10.32
23	SAN PEDRO SAN MARCOS	10.32
24	EL TUMBADOR	10.32
25	MALACATAN	30.95
26	COATEPEQUE	10.32
27	RETALHULEU	10.32
28	MAZATENANGO	10.32
29	PUEBLO NUEVO VIÑAS	10.32
30	LA MAQUINA	10.32
31	EL QUICHE	20.64
32	HUEHUETENANGO	10.32
34	QUETZALTENANGO	20.64
35	SANTIAGO ATITLAN	10.32
36	MORALES	10.32
37	ASUNCION MITA	10.32
38	PATZUN	10.32
39	POPTUN	10.32
40	PLAYA GRANDE	10.32
41	LA DEMOCRACIA	10.32
42	IPALA	10.32
43	EL ESTOR	10.32
44	LA TINTA	10.32
45	LA MESILLA	20.64
46	SANTO TOMAS CHICHE	10.32
47	ALOTENANGO	10.32
48	MOYUTA	10.32
49	CARCHA	20.64
50	RAXRUJA	10.32
51	TEJUTLA	10.32
52	NEBAJ	10.32
53	JOYABAJ	10.32
54	USPANTAN	10.32
55	SOLOMA	10.32
56	SAN ANTONIO HUISTA	10.32
57	SANTA CRUZ BARILLAS	10.32
58	CUILCO	10.32
59	SAN CRISTOBAL VERAPAZ	10.32
60	SACAPULAS	10.32
61	EL CHAL DOLORES	10.32
62	SAN LUIS	10.32
63	SAYAXCHE	30.95
64	LAS CRUCES	20.64
65	RABINAL	10.32
66	SAN MARTIN JILOTEPEQUE	10.32
67	MATAQUESCUINTLA	10.32
68	JALPATAGUA	10.32
69	GUALAN	10.32
70	SAN PEDRO NECTA	10.32
71	AGENCIA  18 CALLE ZONA 1	10.32
72	RIO DULCE	10.32
73	AGUACATAN	10.32
74	MINISTERIO DE FINANZAS PUBLICAS 	10.32
75	SAN CARLOS SIJA	10.32
76	CIUDAD PEDRO DE ALVARADO	10.32
77	SAN JUAN LA LAGUNA	10.32
78	CENTRAL DE MAYOREO (CENMA)	10.32
79	MOMOSTENANGO	20.64
80	ANEXO NUEVA SANTA ROSA 	10.32
81	ATESCATEMPA	20.64
82	CAMOTAN	10.32
83	ESCUINTLA	10.32
84	COMALAPA	10.32
85	QUETZALTEPEQUE	10.32
86	SANTA CATARINA MITA	10.32
87	OLOPA	10.32
88	LA UNION	10.32
89	JACALTENANGO	10.32
90	PACHALUM	10.32
91	PALENCIA	10.32
92	SAN MARCOS	20.64
93	SAN PEDRO LA LAGUNA	20.64
94	AUTOBANCO LOS AMATES	10.32
95	SAN FRANCISCO EL ALTO	20.64
96	MIGRACION	10.32
97	HUEHUETENANGO AGENCIA TRIBUTARIA	10.32
98	CHACTE	10.32
99	OFICINA ZONA 1 (CENTRO)	10.32
100	ADUANA VALLE NUEVO	10.32
101	SAN CRISTOBAL FRONTERA	20.64
102	ADUANA TECUN UMAN	10.32
103	ADUANA EL CARMEN	10.32
104	ADUANA PUERTO BARRIOS	20.64
105	SIJA QUETZALTENANGO	10.32
106	ADUANA AGUA CALIENTE	10.32
107	ADUANA ERMITA	10.32
108	EL FLORIDO	10.32
109	ROOSEVELTH	41.27
110	ADUANA PEDRO DE ALVARADO	10.32
111	CUILAPA	10.32
113	ADUANA MELCHOR DE MENCOS	10.32
114	PUERTO QUETZAL	10.32
116	TODOS SANTOS HUEHUETENANGO	10.32
117	NENTON	10.32
118	BOULEVAR LIBERACION	10.32
119	SANTA MARIA IXHUATAN	10.32
120	AUTOBANCO ASUNCION MITA	10.32
121	CHICHICASTENANGO	10.32
122	CAHABON	10.32
123	TUCURU	10.32
124	COBAN IMPERIAL	20.64
125	CHISEC	10.32
126	SAN MANUEL CHAPARRON	10.32
127	AUTOBANCO TELEMAN	10.32
128	CONCEPCION HUISTA	10.32
129	EL CHOL	10.32
130	GRANADOS	10.32
131	REFORMA SAN MARCOS	10.32
132	AGENCIA ZONA 6 (MARTI)	10.32
133	C.C. PLAZA MAGDALENA	10.32
134	AGENCIA ZONA 7	10.32
135	AGENCIA ZONA 5	10.32
136	METRONORTE	20.64
137	VILLA NUEVA	10.32
138	AGENCIA MIXCO	10.32
139	AGENCIA ZONA 19	20.64
140	SAT FLORES	10.32
141	TERMINAL HUEHUETENANGO	10.32
142	PLAZA PALMERAS	10.32
143	NUEVO SAN CARLOS	10.32
144	SAN BENITO PETEN	20.64
146	INGUAT	10.32
147	AGENCIA SAT ZACAPA	20.64
148	COLONIAL ANTIGUA	10.32
149	SANTA EULALIA	10.32
150	SAT - CHIMALTENANGO	10.32
151	SALAMA CENTRO	10.32
152	AUTOBANCO PROGRESO JUTIAPA	10.32
153	AUTOBANCO CIUDAD SAN CRISTOBAL	10.32
154	AGUA BLANCA	10.32
155	AUTOBANCO LAS MINAS ESQUIPULAS	10.32
156	PANAJACHEL	10.32
157	SAT - JALAPA	10.32
158	SAMAYAC	10.32
159	SAN ANDRES SEMETABAJ	10.32
160	AUTOBANCO TEXACO CHIQUIMULA	10.32
161	SAN PEDRO CARCHA	10.32
162	CAMOJA	10.32
163	CUNEN	10.32
164	AMATITLAN	30.95
165	XELAJU	20.64
166	TECULUTAN	10.32
167	TRANSITO GALERIAS DEL SUR	10.32
168	LA TORRE	10.32
169	EL PROGRESO	10.32
170	C.D.R.O	10.32
171	CUBULCO	10.32
173	19 CALLE	10.32
174	PURULHA	10.32
175	ORGANISMO JUDICIAL	10.32
176	YUPILTEPEQUE	10.32
177	LA DEMOCRACIA ESCUINTLA	10.32
178	AEROPUERTO	30.95
179	PALIN	20.64
180	SANARATE	10.32
181	CHICAMAN	10.32
